,Rank,Site,System,Cores,RMax,RPeak,Power,Country
256,257,Internet CompanyChina,Sugon,60000.0,1015.0,2112.0,750.0,China
257,258,Deutscher WetterdienstGermany,CrayInc.,34560.0,1014.0,1227.6,448.0,Germany
258,259,PCSS PoznanPoland,HuaweiTechnologiesCo.Ltd.,32984.0,1013.7,1372.1,550.0,Poland
259,260,Service Provider TChina,Lenovo,108000.0,1013.5,3974.4,3375.0,China
260,261,Software Company (M)United States,HPE,36720.0,1012.0,1410.0,,United States
261,262,Software Company (M)United States,HPE,36720.0,1012.0,1410.0,,United States
262,263,Academic Computer Centre in GdanskPoland,Megatel/Action,38400.0,1010.9,1413.1,864.0,Poland
263,264,National Supercomputing Centre SingaporeSingapore,Fujitsu,30912.0,1010.0,1285.9,1159.0,Singapore
264,265,Dell EMC HPC Innovation labUnited States,DellEMC,24240.0,1007.9,1861.6,,United States
265,266,Service Provider TChina,Lenovo,53200.0,1005.5,2042.9,,China
266,267,Service Provider TChina,Lenovo,53200.0,1005.5,2042.9,,China
267,268,Internet Service AChina,Inspur,26208.0,1004.0,1929.2,,China
268,269,Internet Service AChina,Inspur,26208.0,1004.0,1929.2,,China
269,270,Internet Company AChina,Lenovo,23904.0,1001.7,1772.9,,China
270,271,Advanced Center for Computing and Communication RIKENJapan,PEZYComputing/ExascalerInc.,1313280.0,1001.0,1533.5,150.0,Japan
271,272,NASA/Goddard Space Flight CenterUnited States,HPE,31248.0,1000.5,1299.9,2009.0,United States
272,273,HLRN at ZIB/Konrad Zuse-Zentrum BerlinGermany,CrayInc.,44928.0,991.5,1425.7,878.0,Germany
273,274,Internet CompanyChina,Sugon,60000.0,990.7,2016.0,600.0,China
274,275,Advanced Center for Computing and Communication RIKENJapan,Fujitsu,34560.0,989.6,1092.1,518.0,Japan
275,276,Meteorological Research Institute Japan Meteorological AgencyJapan,Fujitsu,34560.0,989.6,1092.1,518.0,Japan
276,277,Internet Service AChina,Inspur,21600.0,988.2,1908.0,,China
277,278,Internet Service AChina,Inspur,52800.0,986.0,2112.0,,China
278,279,Internet Service AChina,Inspur,52800.0,986.0,2112.0,,China
279,280,Internet Service (B)China,Sugon,48000.0,984.8,1996.8,1710.0,China
280,281,IPE-HPCChina,Sugon,24800.0,981.2,1643.2,840.0,China
281,282,Purdue UniversityUnited States,HPE,77520.0,976.8,1341.1,510.0,United States
282,283,Internet Service AChina,Inspur,51200.0,974.0,2048.0,,China
283,284,Internet Service AChina,Inspur,51200.0,974.0,2048.0,,China
284,285,Energy CompanyChina,HuaweiTechnologiesCo.Ltd.,34816.0,974.0,1906.7,344.0,China
285,286,Service Provider TChina,Lenovo,79520.0,972.1,2544.6,,China
286,287,National Institute of Advanced Industrial Science and TechnologyJapan,NEC,23400.0,961.0,2148.8,76.0,Japan
287,288,IT Service Provider (L)China,Sugon,51200.0,960.3,1966.1,960.0,China
288,289,AWEUnited Kingdom,HPE,44520.0,958.7,997.2,855.0,United Kingdom
289,290,Air Force Research LaboratoryUnited States,CrayInc.,56112.0,957.6,1212.0,1571.0,United States
290,291,Service Provider TChina,Lenovo,90000.0,954.7,3744.0,3375.0,China
